train_stars,method,err_abs_1e5,err_rel_pct,seconds
200,mean (invariant),163.8272707295385,22.45883714294076,0.023293018341064453
200,nearest star,212.0479826656295,27.92934484397966,0.025315046310424805
200,IDW kNN,126.43950752772228,16.608775674973366,0.01198267936706543
200,poly pixels (PSFEx-like),81.83661611367815,10.951973441382812,0.007230281829833984
200,PCA8+poly (Jee07),81.00775120361817,10.933305879202077,0.027362823486328125
200,PCA8+RBF (Gentile13),64.31826496423044,8.670232179961378,0.045125722885131836
200,PCA20+RBF,74.50065603943116,9.891150026794385,0.055895328521728516
200,PCA8+GP (PIFF-like),63.43117067136025,8.544272599471189,0.38079166412353516
200,PCA20+GP,70.60188625186287,9.45054474106984,1.034672498703003
500,mean (invariant),162.95870484685045,22.429830128933773,0.003020763397216797
500,nearest star,213.5508286026772,28.058400209646457,0.013221502304077148
500,IDW kNN,121.80297213878859,15.966206087623243,0.016190052032470703
500,poly pixels (PSFEx-like),70.18702455610266,9.497878401810155,0.01070547103881836
500,PCA8+poly (Jee07),72.78573940303721,9.917805372992442,0.10879302024841309
500,PCA8+RBF (Gentile13),49.67194960348439,6.763254186788472,0.22355246543884277
500,PCA20+RBF,51.62752469426349,6.89911859109325,0.23285198211669922
500,PCA8+GP (PIFF-like),49.52694209898324,6.745416989399988,3.099712610244751
500,PCA20+GP,49.13397466976092,6.602580918869089,7.815578937530518
1000,mean (invariant),162.2779932146325,22.345586795194492,0.0051500797271728516
1000,nearest star,205.10357265415183,27.07685715120476,0.02118515968322754
1000,IDW kNN,117.3509765509035,15.4259865881469,0.03214883804321289
1000,poly pixels (PSFEx-like),67.63656871858541,9.18212624107333,0.022403478622436523
1000,PCA8+poly (Jee07),71.7124206910083,9.779879460683443,0.549079179763794
1000,PCA8+RBF (Gentile13),45.778986127170725,6.253454958287312,1.0313348770141602
1000,PCA20+RBF,38.79816030373888,5.217067792820928,1.1465508937835693
1000,PCA8+GP (PIFF-like),45.602711171820886,6.230931070668732,8.195768594741821
1000,PCA20+GP,37.55361047180492,5.062890705586142,13.501928806304932
2000,mean (invariant),162.31524198399288,22.343727857402733,0.004643440246582031
2000,nearest star,209.2040148000456,27.54987783666326,0.04027438163757324
2000,IDW kNN,117.80637398573042,15.478517022321448,0.04265284538269043
2000,poly pixels (PSFEx-like),67.02503138575148,9.127409594337294,0.03838324546813965
2000,PCA8+poly (Jee07),71.40461966011732,9.758597293509906,0.8388910293579102
2000,PCA8+RBF (Gentile13),44.18335606955718,6.044007801321772,3.8450875282287598
2000,PCA20+RBF,31.971326535579838,4.311348728694437,3.777684211730957
2000,PCA8+GP (PIFF-like),44.103018748199474,6.03212760606929,50.56065511703491
2000,PCA20+GP,31.416911028222,4.241350587292635,74.24610304832458
