field,level,beads,seed,photons,method,rel_l2,mean_l1,seconds
centred,1.0,128,0,20000.0,mean (invariant),0.13151656616947324,0.17049752066029722,0.0005517005920410156
centred,1.0,128,0,20000.0,nearest bead,0.05463162600925302,0.08381689712909168,0.00015401840209960938
centred,1.0,128,0,20000.0,IDW kNN,0.04067331840655958,0.05201441505956314,0.00015473365783691406
centred,1.0,128,0,20000.0,poly pixels (PSFEx),0.024132575001507405,0.038115208568943744,0.0014100074768066406
centred,1.0,128,0,20000.0,PCA+poly (Jee07),0.025204707253988,0.040254108511745254,0.00821828842163086
centred,1.0,128,0,20000.0,PCA+RBF (Gentile13),0.02193394541883596,0.0350412601488954,0.21477437019348145
centred,1.0,128,0,20000.0,PCA+GP (PIFF-like),0.03002909050718684,0.04335489070834183,0.3277409076690674
centred,1.0,128,0,20000.0,Seidel-5 (physics),0.00044266185548131356,0.0005640325398946317,45.13513135910034
centred,1.0,128,0,20000.0,Zernike-quad-31 (physics),0.0007118910805401366,0.0010133022483893865,68.00227236747742
centred,1.0,128,0,20000.0,hybrid: Zquad + GP residual,0.0047940228263030835,0.004667549948783255,68.31133532524109
centred,1.0,128,1,20000.0,mean (invariant),0.13288747041555674,0.165245431000699,0.0005233287811279297
centred,1.0,128,1,20000.0,nearest bead,0.06092250049715391,0.08713794722444212,0.00015926361083984375
centred,1.0,128,1,20000.0,IDW kNN,0.05369102594015186,0.05834969174485649,0.00013971328735351562
centred,1.0,128,1,20000.0,poly pixels (PSFEx),0.026668079757794744,0.0382925436912562,0.001371622085571289
centred,1.0,128,1,20000.0,PCA+poly (Jee07),0.027390559484404668,0.039246694010214855,0.006561756134033203
centred,1.0,128,1,20000.0,PCA+RBF (Gentile13),0.027605526264810176,0.036418474383944126,0.2050309181213379
centred,1.0,128,1,20000.0,PCA+GP (PIFF-like),0.035188381108033885,0.043321894991016095,0.2828545570373535
centred,1.0,128,1,20000.0,Seidel-5 (physics),0.000415197470859601,0.0006483609468379452,43.24611973762512
centred,1.0,128,1,20000.0,Zernike-quad-31 (physics),0.0007136729706099652,0.0010396401964101753,69.54529094696045
centred,1.0,128,1,20000.0,hybrid: Zquad + GP residual,0.004548013542040837,0.004328631921146278,69.86359214782715
centred,1.0,128,2,20000.0,mean (invariant),0.13151912980533118,0.16846177898385856,0.0005571842193603516
centred,1.0,128,2,20000.0,nearest bead,0.05540178418518903,0.08425438102978922,0.0001647472381591797
centred,1.0,128,2,20000.0,IDW kNN,0.040597943009083974,0.051882975175748136,0.00014662742614746094
centred,1.0,128,2,20000.0,poly pixels (PSFEx),0.02452707779749875,0.037798949941920824,0.0015413761138916016
centred,1.0,128,2,20000.0,PCA+poly (Jee07),0.025750245564993102,0.0398877012176935,0.006823539733886719
centred,1.0,128,2,20000.0,PCA+RBF (Gentile13),0.022408976230352356,0.034909359189895954,0.23498106002807617
centred,1.0,128,2,20000.0,PCA+GP (PIFF-like),0.030515548459249746,0.04268363878657263,0.24775481224060059
centred,1.0,128,2,20000.0,Seidel-5 (physics),0.0005060311507543765,0.0007680469272797742,43.762325286865234
centred,1.0,128,2,20000.0,Zernike-quad-31 (physics),0.0007401674124305188,0.0011345642685299847,66.98021483421326
centred,1.0,128,2,20000.0,hybrid: Zquad + GP residual,0.0034793566437894626,0.0035112953182710894,67.28609490394592
decentred,1.0,128,0,20000.0,mean (invariant),0.20316172635838142,0.23453151809539807,0.0005273818969726562
decentred,1.0,128,0,20000.0,nearest bead,0.07607283696645606,0.09826160877036913,0.00014519691467285156
decentred,1.0,128,0,20000.0,IDW kNN,0.06535847957549513,0.06667647361669252,0.0002703666687011719
decentred,1.0,128,0,20000.0,poly pixels (PSFEx),0.05341023367927796,0.0673387869077839,0.0013666152954101562
decentred,1.0,128,0,20000.0,PCA+poly (Jee07),0.05432109784626081,0.06881379089265281,0.0070116519927978516
decentred,1.0,128,0,20000.0,PCA+RBF (Gentile13),0.027912650542202683,0.04464506577918481,0.2394561767578125
decentred,1.0,128,0,20000.0,PCA+GP (PIFF-like),0.029772843798039614,0.04481040725805211,0.22342967987060547
decentred,1.0,128,0,20000.0,Seidel-5 (physics),0.06974587463660346,0.11178480558637853,50.64178657531738
decentred,1.0,128,0,20000.0,Zernike-quad-31 (physics),0.04476322621808475,0.0702304456223246,73.77528119087219
decentred,1.0,128,0,20000.0,hybrid: Zquad + GP residual,0.022326748289953003,0.03545649011371914,74.22998642921448
decentred,1.0,128,1,20000.0,mean (invariant),0.21797665429119123,0.23405860499062964,0.00027680397033691406
decentred,1.0,128,1,20000.0,nearest bead,0.09421104997632734,0.10687983226629111,0.0002071857452392578
decentred,1.0,128,1,20000.0,IDW kNN,0.09548943129132695,0.0809253774241067,0.00016427040100097656
decentred,1.0,128,1,20000.0,poly pixels (PSFEx),0.06044542199268055,0.06644323057596377,0.0011925697326660156
decentred,1.0,128,1,20000.0,PCA+poly (Jee07),0.061711852540540145,0.06868192291383966,0.0065937042236328125
decentred,1.0,128,1,20000.0,PCA+RBF (Gentile13),0.03973952100784857,0.049904305175167446,0.20860648155212402
decentred,1.0,128,1,20000.0,PCA+GP (PIFF-like),0.04167308947721415,0.049343340104476906,0.22611308097839355
decentred,1.0,128,1,20000.0,Seidel-5 (physics),0.07990317669035214,0.12099614602473495,55.793731689453125
decentred,1.0,128,1,20000.0,Zernike-quad-31 (physics),0.06239031619589467,0.08813479815251589,63.13951253890991
decentred,1.0,128,1,20000.0,hybrid: Zquad + GP residual,0.031773896577330756,0.04115212825671696,63.49521827697754
decentred,1.0,128,2,20000.0,mean (invariant),0.2025721135235774,0.22675300826867387,0.0002722740173339844
decentred,1.0,128,2,20000.0,nearest bead,0.07793969405317121,0.10133854672701899,0.0001671314239501953
decentred,1.0,128,2,20000.0,IDW kNN,0.06680462601036927,0.06933300293138449,0.00013637542724609375
decentred,1.0,128,2,20000.0,poly pixels (PSFEx),0.05971080195228774,0.07969353489070485,0.0012006759643554688
decentred,1.0,128,2,20000.0,PCA+poly (Jee07),0.060464378830870795,0.0811349689619892,0.006687164306640625
decentred,1.0,128,2,20000.0,PCA+RBF (Gentile13),0.028629927148242074,0.04591496284694588,0.21579623222351074
decentred,1.0,128,2,20000.0,PCA+GP (PIFF-like),0.029038091447708816,0.04565368486798091,0.24921298027038574
decentred,1.0,128,2,20000.0,Seidel-5 (physics),0.06690608040802683,0.09810591149223212,55.517518043518066
decentred,1.0,128,2,20000.0,Zernike-quad-31 (physics),0.04764337061775881,0.07565061110121553,65.0173511505127
decentred,1.0,128,2,20000.0,hybrid: Zquad + GP residual,0.02372946694073551,0.038548242008751246,65.38539218902588
decentred,2.0,128,0,20000.0,mean (invariant),0.46066874660491447,0.46530895806594674,0.013983488082885742
decentred,2.0,128,0,20000.0,nearest bead,0.1398890343379863,0.14371913198129194,0.00020837783813476562
decentred,2.0,128,0,20000.0,IDW kNN,0.1188781641571888,0.10699554185321168,0.00015854835510253906
decentred,2.0,128,0,20000.0,poly pixels (PSFEx),0.12493519274300485,0.14531031737597683,0.0013251304626464844
decentred,2.0,128,0,20000.0,PCA+poly (Jee07),0.1299824456967906,0.1545522762176551,0.006865501403808594
decentred,2.0,128,0,20000.0,PCA+RBF (Gentile13),0.0775973860677289,0.11314360506402929,0.24565577507019043
decentred,2.0,128,0,20000.0,PCA+GP (PIFF-like),0.07572263121911804,0.11191356919102786,0.19817447662353516
decentred,2.0,128,0,20000.0,Seidel-5 (physics),0.17700359103577862,0.23460393816037672,74.11296916007996
decentred,2.0,128,0,20000.0,Zernike-quad-31 (physics),0.11280212060088075,0.15508087937006185,83.31805968284607
decentred,2.0,128,0,20000.0,hybrid: Zquad + GP residual,0.04487540540460883,0.0680209401314524,83.7249538898468
decentred,2.0,128,1,20000.0,mean (invariant),0.4743466156282671,0.45786481263257883,0.0002944469451904297
decentred,2.0,128,1,20000.0,nearest bead,0.1540588724846942,0.14833220738806796,0.00016236305236816406
decentred,2.0,128,1,20000.0,IDW kNN,0.15269001490931802,0.12046121087857292,0.00014543533325195312
decentred,2.0,128,1,20000.0,poly pixels (PSFEx),0.14266047088797634,0.13857197662234377,0.0011985301971435547
decentred,2.0,128,1,20000.0,PCA+poly (Jee07),0.14902974577661737,0.15309401896270217,0.00664973258972168
decentred,2.0,128,1,20000.0,PCA+RBF (Gentile13),0.09901753025136477,0.1196585077310264,0.29590725898742676
decentred,2.0,128,1,20000.0,PCA+GP (PIFF-like),0.09078454835371749,0.1164827216144051,0.2650163173675537
decentred,2.0,128,1,20000.0,Seidel-5 (physics),0.1958573642924574,0.25755438982089085,78.85261988639832
decentred,2.0,128,1,20000.0,Zernike-quad-31 (physics),0.13971928634663847,0.18866894945442267,77.7253406047821
decentred,2.0,128,1,20000.0,hybrid: Zquad + GP residual,0.05807806841434461,0.0760463457388209,78.08590722084045
decentred,2.0,128,2,20000.0,mean (invariant),0.457930521129621,0.4528277547278284,0.00028014183044433594
decentred,2.0,128,2,20000.0,nearest bead,0.1468649424980097,0.1509267348113262,0.00018286705017089844
decentred,2.0,128,2,20000.0,IDW kNN,0.12562415995679918,0.11424511556453247,0.00014543533325195312
decentred,2.0,128,2,20000.0,poly pixels (PSFEx),0.13466042969595557,0.16035199628243635,0.0012211799621582031
decentred,2.0,128,2,20000.0,PCA+poly (Jee07),0.13893762291804898,0.1694973350949095,0.006412506103515625
decentred,2.0,128,2,20000.0,PCA+RBF (Gentile13),0.08398577885957999,0.11916184933965607,0.20534062385559082
decentred,2.0,128,2,20000.0,PCA+GP (PIFF-like),0.08118625151335207,0.11776705182455857,0.19671106338500977
decentred,2.0,128,2,20000.0,Seidel-5 (physics),0.16794677296259125,0.2152972685378576,60.22158360481262
decentred,2.0,128,2,20000.0,Zernike-quad-31 (physics),0.13420775094545134,0.17346755218018492,76.27741432189941
decentred,2.0,128,2,20000.0,hybrid: Zquad + GP residual,0.0489812955931385,0.07627475645731652,76.61950445175171
centred,1.0,64,0,20000.0,mean (invariant),0.1318197262384134,0.17372544786840452,0.00019860267639160156
centred,1.0,64,0,20000.0,nearest bead,0.06271592737354742,0.0924795642134009,0.00010085105895996094
centred,1.0,64,0,20000.0,IDW kNN,0.046812783128090577,0.059896565199987574,9.679794311523438e-05
centred,1.0,64,0,20000.0,poly pixels (PSFEx),0.02736005109361617,0.045165684198128254,0.0009377002716064453
centred,1.0,64,0,20000.0,PCA+poly (Jee07),0.027548653666830857,0.0452420874293377,0.0023496150970458984
centred,1.0,64,0,20000.0,PCA+RBF (Gentile13),0.026141352678854576,0.041364517692015726,0.04373979568481445
centred,1.0,64,0,20000.0,PCA+GP (PIFF-like),0.035043953279294514,0.049983436945788155,0.12258720397949219
centred,1.0,64,0,20000.0,Seidel-5 (physics),0.0005628534784230493,0.0007926003529359538,18.230419397354126
centred,1.0,64,0,20000.0,Zernike-quad-31 (physics),0.0011818721299146574,0.0017724145788655943,20.479637384414673
centred,1.0,64,0,20000.0,hybrid: Zquad + GP residual,0.004065582794077777,0.004825953942367454,20.715644359588623
centred,1.0,64,1,20000.0,mean (invariant),0.13365084375296316,0.16530695965663447,0.0003292560577392578
centred,1.0,64,1,20000.0,nearest bead,0.07218061361441065,0.0963106903113853,9.131431579589844e-05
centred,1.0,64,1,20000.0,IDW kNN,0.07040366434669036,0.07173112544117755,8.416175842285156e-05
centred,1.0,64,1,20000.0,poly pixels (PSFEx),0.03226794536680952,0.04740388733846343,0.0008287429809570312
centred,1.0,64,1,20000.0,PCA+poly (Jee07),0.03137742746421173,0.04537178930533927,0.0030977725982666016
centred,1.0,64,1,20000.0,PCA+RBF (Gentile13),0.03796869683901615,0.04613429095176759,0.04199051856994629
centred,1.0,64,1,20000.0,PCA+GP (PIFF-like),0.04684757797761492,0.05290614483856989,0.12546324729919434
centred,1.0,64,1,20000.0,Seidel-5 (physics),0.00047289684976534614,0.0006544661443229473,17.920398235321045
centred,1.0,64,1,20000.0,Zernike-quad-31 (physics),0.0010875997062753005,0.0014971657479385858,22.85509967803955
centred,1.0,64,1,20000.0,hybrid: Zquad + GP residual,0.006027184157516827,0.0070100935102314355,23.04870057106018
centred,1.0,64,2,20000.0,mean (invariant),0.13254256003518788,0.168667892783443,0.00018405914306640625
centred,1.0,64,2,20000.0,nearest bead,0.06999462725295616,0.09582064391613171,8.58306884765625e-05
centred,1.0,64,2,20000.0,IDW kNN,0.058074171057437195,0.06506543889279788,7.653236389160156e-05
centred,1.0,64,2,20000.0,poly pixels (PSFEx),0.028687372604189663,0.045511017773586966,0.0007965564727783203
centred,1.0,64,2,20000.0,PCA+poly (Jee07),0.028044112472265917,0.04431375995938945,0.0023157596588134766
centred,1.0,64,2,20000.0,PCA+RBF (Gentile13),0.03164906808488622,0.04399348653338878,0.03925204277038574
centred,1.0,64,2,20000.0,PCA+GP (PIFF-like),0.040485510971094305,0.05107159888364038,0.12597250938415527
centred,1.0,64,2,20000.0,Seidel-5 (physics),0.0004977916236568876,0.0007165331521505806,18.001250505447388
centred,1.0,64,2,20000.0,Zernike-quad-31 (physics),0.0010378422542575976,0.0014812690081438648,22.209958791732788
